Date Created,Number of Likes,Source of Tweet,Tweets
2023-06-30 08:39:40+00:00,0,,"@mobieTalk @DisneyPlusHS @GraphicIndia #Prabhas 's #ADIPURUSH

After #Hanuman Now On Hotstar #TheLegendofHanuman S3 coming"
2023-06-30 08:35:53+00:00,0,,Anyday better than #Adipurush
2023-06-30 08:35:47+00:00,3,,"Box office: How much did Adipurush make in Telugu states?

https://t.co/Lo18rVScPk

#123telugu #Adipurush #KritiSanon #OmRaut #SaifAliKhan #DevdattaNage #SunnySingh"
2023-06-30 08:34:15+00:00,7,,"""ఆదిపురుష్"" ఓటిటి రిలీజ్ అప్పుడే?

https://t.co/pSdwpMYizQ

#123telugu #Adipurush #KritiSanon #OmRaut #SaifAliKhan #DevdattaNage #SunnySingh"
2023-06-30 08:17:43+00:00,1,,"there was clearly a beautiful pushpak viman waiting outside shivaji temple.. he flew there from his palace...
then why u chose a bat ride for ravan.... ??! it absolutely spoiled the whole thing 
@omraut @manojmuntashir 
like why ? #adipurush https://t.co/KweYBShjkS"
2023-06-30 08:17:25+00:00,0,,"@Harmindarboxoff Dear Prabhas fans, it's time to have some shame and accept the truth. Not only is #Adipurush a box office disaster, but even the Allahabad HC has condemned its blasphemous portrayal. Stop living in denial and spreading lies"
2023-06-30 08:16:24+00:00,0,,"@chirpingfree Dear Prabhas fans, it's time to have some shame and accept the truth. Not only is #Adipurush a box office disaster, but even the Allahabad HC has condemned its blasphemous portrayal. Stop living in denial and spreading lies"
2023-06-30 08:16:18+00:00,1,,"आदिपुरुष' का इतना विरोध हुआ कि अब इसका असर उसकी कमाई पर दिखने लगा है। दूसरी तरफ 'सत्यप्रेम की कथा' के आने की वजह से फिल्म की कमाई तेजी से गिरी है। 600 करोड़ के बजट वाली 'आदिपुरुष' गुरुवार को सिर्फ 90 लाख रुपये कमा सकी।

#Adipurush #SatyapremKiKatha #KartikAryan #KiaraAdvani"
2023-06-30 08:16:08+00:00,0,,"@BUJJIGADU_____7 Dear Prabhas fans, it's time to have some shame and accept the truth. Not only is #Adipurush a box office disaster, but even the Allahabad HC has condemned its blasphemous portrayal. Stop living in denial and spreading lies"
2023-06-30 08:15:29+00:00,2,,"Bhai me talent hai 🤗👍 @Chandra69442601 

@ZeeBiharNews @SonuSood @TheHindustanguy

Retweet and Support him 🚩

#emeutes  #AdipurushDisaster
#EidMubarak #JaiShreeRam
#Ukraine #ADIPURUSH"
2023-06-30 08:15:17+00:00,0,,"@FoxriverTFI Dear Prabhas fans, it's time to have some shame and accept the truth. Not only is #Adipurush a box office disaster, but even the Allahabad HC has condemned its blasphemous portrayal. Stop living in denial and spreading lies"
2023-06-30 08:15:05+00:00,3,,"Adipurush Row : Make Documentary On Quran And See What Happens, Says Allahabad High Court
#Adipurush #allahabadhighcourt #Quran #Documentary #Prabhas #OmRaut #CBFC 
👇👇👇
https://t.co/21ncVJE66M"
2023-06-30 08:14:05+00:00,0,,"What a hypocrite!
Adipurush writer, Manoj Muntashir spoke pure Sanskrit in #TheKapilSharmaShow but forgot to use it while writing the dialogues of ""Adipurush.""

Comment down below if you agree.

#adipurushreview #adipurush #adipurushdialouge #OmRaut #ManojMuntashirShukla https://t.co/x1hrqesvfk"
2023-06-30 08:11:18+00:00,0,,"Prabhas and Kriti Sanon starrer is set to hit OTT platforms in September.
#briflynews #adipurush #kiritisanon  #ott

https://t.co/rQKn6ABgzU"
2023-06-30 08:08:38+00:00,8,,"#Salaar Teaser Target 🎯
Watch Here▶️https://t.co/zm2c2hycuJ

#SalaarTeaser #JawanTeaser #Prabhas #Salaar #ProjectK #RajaDeluxe #Spirit #Animal #Adipurush #Pathaan"
2023-06-30 08:07:24+00:00,3,,"Best date for DARLING re-release? 😍

#Prabhas #KajalAggarwal 
#Adipurush #Salaar #SPYMovie 
#GunturKaaram #BroTeaser"
2023-06-30 08:05:49+00:00,15,,"सिद्धांत कार्णिक ने कहा कि मेकर्स चाहते थे कि बच्चों को पता चले कि हमारे देवता लोग विदेशी सुपरहीरोज़ से ज़्यादा कूल हैं. #Adipurush #Prabhas #SiddhantKarnick 

https://t.co/huVeafxQ4M"
2023-06-30 08:05:05+00:00,8,,"@konavenkat99 @PrabhasRaju Thank you @konavenkat99  garu for believing  in madness of our darling #Prabhas on screen . There are many who denying his  screen presence  as #Raghav in #Adipurush. He is the only star  who pulls the movie upto 2 weeks     after so much of negativity.  
Do u agree with me sir?"
